Id,Label,Cor
Qalandia,Qalandia,red
Hizma,Hizma,red
al-'Eizariyah,al-'Eizariyah,orange
a-Sawahrah a-Sharqiyah,a-Sawahrah a-Sharqiyah,red
a-Ram,a-Ram,yellow
al-Kasarat,al-Kasarat,yellow
'Anata,'Anata,red
al-Jib,al-Jib,yellow
al-Khalayleh,al-Khalayleh,red
Abu Dis,Abu Dis,yellow
Abu a-Nuwar,Abu a-Nuwar,yellow
Mikhmas,Mikhmas,orange
Khan al-Ahmar (Bedouin Community),Khan al-Ahmar (Bedouin Community),yellow
Beit Iksa,Beit Iksa,orange
a-Zar'i (Za’atrah),a-Zar'i (Za’atrah),yellow
Beit Surik,Beit Surik,yellow
al-Ka'abneh,al-Ka'abneh,yellow
Jericho,Jericho,red
al-Jiftlik,al-Jiftlik,red
al-'Auja,al-'Auja,orange
Fasayil al-Wusta,Fasayil al-Wusta,yellow
'Aqbat Jaber R.C.,'Aqbat Jaber R.C.,yellow
Wadi al-Ahmar,Wadi al-Ahmar,red
a-Zbeidat,a-Zbeidat,yellow
Marj Na'jah,Marj Na'jah,yellow
Fasayil,Fasayil,red
Ras 'Ein al-'Auja,Ras 'Ein al-'Auja,orange
Deir Hajla,Deir Hajla,yellow
Deir al-Qilt,Deir al-Qilt,yellow
a-Nabi Musa,a-Nabi Musa,yellow
Jenin,Jenin,yellow
al-Mughayir,al-Mughayir,red
Jenin R.C.,Jenin R.C.,red
al-Jalameh,al-Jalameh,red
Kfar Dan,Kfar Dan,yellow
Um a-Rihan,Um a-Rihan,yellow
Jalbun,Jalbun,yellow
Farasin,Farasin,orange
Rummanah,Rummanah,yellow
Ya'bad,Ya'bad,red
Silat al-Harithiya,Silat al-Harithiya,yellow
Turah al-Gharbiyah,Turah al-Gharbiyah,yellow
Barta'ah a-Sharqiyah,Barta'ah a-Sharqiyah,yellow
a-Taybah,a-Taybah,yellow
Deir Ballut,Deir Ballut,yellow
Haris,Haris,red
Kafr a-Dik,Kafr a-Dik,red
Qarawat Bani Hassan,Qarawat Bani Hassan,yellow
Bruqin,Bruqin,yellow
Deir Istiya,Deir Istiya,yellow
Salfit,Salfit,yellow
Bidya,Bidya,yellow
a-Zawiya,a-Zawiya,yellow
Sarta,Sarta,yellow
'Ein Shibli,'Ein Shibli,yellow
Balata R.C.,Balata R.C.,red
'Askar R.C.,'Askar R.C.,yellow
Duma,Duma,red
Jurish,Jurish,yellow
Nablus,Nablus,yellow
Furush Beit Dajan,Furush Beit Dajan,orange
Lifjim,Lifjim,red
Qusrah,Qusrah,yellow
Deir Sharaf,Deir Sharaf,orange
a-Sawiyah,a-Sawiyah,yellow
Deir al-Hatab,Deir al-Hatab,yellow
Rujeib,Rujeib,yellow
Huwarah,Huwarah,yellow
Bizzariya,Bizzariya,yellow
Sabastiya,Sabastiya,red
Beit Dajan,Beit Dajan,yellow
Qusin,Qusin,yellow
a-Lubban a-Sharqiyah,a-Lubban a-Sharqiyah,orange
Qabalan,Qabalan,yellow
'Asirah a-Shamaliyah,'Asirah a-Shamaliyah,yellow
Burqah,Burqah,yellow
Zawata,Zawata,yellow
Battir,Battir,yellow
Beit Jala,Beit Jala,orange
Bir 'Unah,Bir 'Unah,yellow
Irtas,Irtas,yellow
al-Walajah,al-Walajah,orange
al-Khader,al-Khader,red
Jub a-Dib,Jub a-Dib,yellow
al-Fureidis,al-Fureidis,yellow
Nahhalin,Nahhalin,red
Husan,Husan,yellow
Tekoa,Tekoa,yellow
al-Maniyah,al-Maniyah,orange
al-Halqum,al-Halqum,yellow
Beit Fajjar,Beit Fajjar,yellow
Khallet Sakariya,Khallet Sakariya,yellow
Wadi Fukin,Wadi Fukin,yellow
'Arab a-Rashayidah,'Arab a-Rashayidah,yellow
al-Khas,al-Khas,yellow
Khallet al-Louza,Khallet al-Louza,yellow
Harmalah,Harmalah,yellow
Wadi Rahhal,Wadi Rahhal,yellow
Beit Ta'mar,Beit Ta'mar,yellow
Kh. a-Nahlah,Kh. a-Nahlah,yellow
Kisan,Kisan,orange
Bethlehem,Bethlehem,yellow
Kh. Humsah a-Tahta,Kh. Humsah a-Tahta,yellow
Kh. al-Maleh (Hamamat al-Maleh),Kh. al-Maleh (Hamamat al-Maleh),yellow
Kh. a-Ras al-Ahmar,Kh. a-Ras al-Ahmar,yellow
Kh.Ibziq,Kh.Ibziq,red
Kh. 'Einun,Kh. 'Einun,yellow
Bardalah,Bardalah,red
Kardalah,Kardalah,yellow
Kh. Humsah,Kh. Humsah,red
Tammun,Tammun,yellow
Hamam al-Maleh,Hamam al-Maleh,yellow
Tayasir,Tayasir,yellow
Kh. 'Atuf,Kh. 'Atuf,yellow
al-Burj (Tubas),al-Burj (Tubas),yellow
'Azzun 'Atmah,'Azzun 'Atmah,yellow
a-Nabi Elyas,a-Nabi Elyas,orange
Jayus,Jayus,yellow
Hajjah,Hajjah,yellow
Hablah,Hablah,yellow
al-Funduq,al-Funduq,yellow
Kafr Laqif,Kafr Laqif,yellow
Immatin,Immatin,yellow
Jinsafut,Jinsafut,yellow
Ras 'Atiya,Ras 'Atiya,yellow
'Arab a-Ramadin al-Janubi,'Arab a-Ramadin al-Janubi,yellow
Qalqiliyah,Qalqiliyah,orange
Jit,Jit,yellow
'Ein Samia,'Ein Samia,red
Beit Sira,Beit Sira,orange
a-Lubban al-Gharbiyah,a-Lubban al-Gharbiyah,orange
Ramallah,Ramallah,yellow
al-Mazra'ah al-Qibliyah,al-Mazra'ah al-Qibliyah,yellow
Ni'lin,Ni'lin,orange
Um Safa,Um Safa,yellow
Deir a-Sudan,Deir a-Sudan,yellow
Deir 'Ammar,Deir 'Ammar,yellow
Sinjil,Sinjil,yellow
Wadi a-Siq,Wadi a-Siq,red
Qibyah,Qibyah,yellow
al-Birah,al-Birah,yellow
Beitin,Beitin,yellow
Rantis,Rantis,yellow
a-Nabi Samwil,a-Nabi Samwil,orange
Bir Zeit,Bir Zeit,yellow
Deir Nizam,Deir Nizam,yellow
Ras a-Tin,Ras a-Tin,orange
Turmusaya,Turmusaya,yellow
Kh.Jib'it,Kh.Jib'it,orange
Deir Dobwan,Deir Dobwan,yellow
a-Tirah,a-Tirah,yellow
Bitunya,Bitunya,yellow
Kobar,Kobar,yellow
Kafr Ni'ma,Kafr Ni'ma,yellow
Deir Qadis,Deir Qadis,yellow
Ras Karkar,Ras Karkar,yellow
